Species
Gordonia bronchialis
Gordonia iterans
Gordonia phthalatica
Gordonia polyisoprenivorans
Gordonia terrae
Granulicella mallensis
Granulicoccus phenolivorans
Gryllotalpicola ginsengisoli
Haemophilus haemolyticus
Haemophilus influenzae
Haliangium ochraceum
Halomonas sp. Marseille-P2426
Hamadaea tsunoensis
Hartmannibacter diazotrophicus
Hephaestia caeni
Herbiconiux ginsengi
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Humitalea rosea
Hydrocarboniphaga daqingensis
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Immundisolibacter cernigliae
Inquilinus limosus
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola dokdonensis
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter melonis
Janibacter sp. HTCC2649
Janthinobacterium lividum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. CG3
Janthinobacterium sp. GW458P
Janthinobacterium sp. TND4EL3
Janthinobacterium svalbardensis
Jatrophihabitans sp. GAS493
Jeongeupia sp. USM3
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Kluyvera intermedia
Kocuria palustris
Kocuria sp. UCD-OTCP
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kutzneria albida
Kutzneria sp. 744
Kytococcus sedentarius
Lachnoanaerobaculum umeaense
Lactobacillus iners
Lactobacillus parabuchneri
Lacunisphaera limnophila
Lechevalieria aerocolonigenes
Lechevalieria atacamensis
Lechevalieria deserti
Lechevalieria fradiae
Lechevalieria xinjiangensis
Leifsonia aquatica
Leifsonia sp. 21MFCrub1.1
Leifsonia xyli
Lentzea albida
Lentzea albidocapillata
Lentzea flaviverrucosa
Lentzea guizhouensis
Lentzea jiangxiensis
Lentzea kentuckyensis
Lentzea violacea
Lentzea waywayandensis
Leptothrix cholodnii
Leptotrichia sp. oral taxon 879
Limimonas halophila
Limnochorda pilosa
Longispora albida
Luteibacter sp. UNCMF331Sha3.1
Luteimonas abyssi
Luteimonas mephitis
Luteimonas sp. J29
Luteipulveratus mongoliensis
Luteitalea pratensis
Lysinimicrobium aestuarii
Lysinimicrobium rhizosphaerae
Lysobacter antibioticus
Lysobacter capsici
Lysobacter defluvii
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter maris
Lysobacter sp. URHA0019
Marinactinospora thermotolerans
Marmoricola ginsengisoli
Marmoricola scoriae
Marmoricola solisilvae
Marmoricola sp. Leaf446
Marmoricola sp. URHB0036
Massilia namucuonensis
Massilia niastensis
Massilia putida
Massilia sp. KIM
Massilia sp. PDC64
Massilia sp. Root335
Massilia sp. WG5
Massilia sp. YMA4
Mastigocladus laminosus
Meiothermus chliarophilus
Melaminivora sp. SC2-7
Melaminivora sp. SC2-9
Melittangium boletus
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium loti
Mesorhizobium muleiense
Mesorhizobium oceanicum
Mesorhizobium opportunistum
Mesorhizobium plurifarium
Mesorhizobium prunaredense
Mesorhizobium qingshengii
Mesorhizobium sp. 1M-11
Mesorhizobium sp. ORS 3324
Mesorhizobium sp. ORS 3359
Mesorhizobium sp. Root172
Mesorhizobium sp. Root552
Mesorhizobium sp. SOD10
Mesorhizobium sp. URHA0056
Mesorhizobium sp. WSM2561
Mesorhizobium sp. WSM3224
Mesorhizobium sp. WSM3626
Metallibacterium scheffleri
Methylibium petroleiphilum
Methylibium sp. CF059
Methylibium sp. CF468
Methylibium sp. YR605
Methylobacterium brachiatum
Methylobacterium currus
Methylobacterium nodulans
Methylobacterium organophilum
Methylobacterium phyllosphaerae
Methylobacterium phyllostachyos
Methylobacterium platani
Methylobacterium pseudosasicola
Methylobacterium radiotolerans
Methylobacterium sp. 174MFSha1.1
Methylobacterium sp. ap11
Methylobacterium sp. B4
Methylobacterium sp. C1
Methylobacterium sp. DM1
Methylobacterium sp. Leaf361
Methylobacterium sp. Leaf399
Methylobacterium sp. MB200
Methylobacterium sp. UNC300MFChir4.1
Methyloceanibacter caenitepidi
Methylocella silvestris
Methylococcus capsulatus
Methylocystis sp. ATCC 49242
Methylorubrum extorquens
Methylorubrum populi
Methylosinus trichosporium
Methyloversatilis discipulorum
Methyloversatilis sp. RAC08
Methyloversatilis universalis
Methylovirgula ligni
Microbacterium hominis
Microbacterium sp. AR7-10
Microbacterium sp. cf046
Microbacterium sp. Leaf351
Microbacterium sp. No. 7
Microbacterium sp. oral taxon 186
Microbacterium testaceum
Microbispora rosea
Microbispora sp. ATCC PTA-5024
Microbispora sp. GMKU363
Micrococcus luteus
Microlunatus phosphovorus
Microlunatus soli
Micromonospora aurantiaca
Micromonospora auratinigra
Micromonospora carbonacea
Micromonospora chaiyaphumensis
Micromonospora chokoriensis
Micromonospora coriariae
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora endolithica
Micromonospora haikouensis
Micromonospora halophytica
Micromonospora humi
Micromonospora inositola
Micromonospora krabiensis
Micromonospora lupini
Micromonospora matsumotoense
Micromonospora mirobrigensis
Micromonospora narathiwatensis
Micromonospora purpureochromogenes
Micromonospora rifamycinica
Micromonospora saelicesensis
Micromonospora siamensis
Micromonospora sp. ATCC 39149
Micromonospora sp. CB01531
Micromonospora sp. HK10
