Pseudarthrobacter phenanthrenivorans
Pseudarthrobacter sulfonivorans
Pseudodesulfovibrio aespoeensis
Pseudodesulfovibrio indicus
Pseudogulbenkiania sp. NH8B
Pseudomonas aeruginosa
Pseudomonas alcaligenes
Pseudomonas chlororaphis
Pseudomonas citronellolis
Pseudomonas fluorescens
Pseudomonas furukawaii
Pseudomonas guangdongensis
Pseudomonas knackmussii
Pseudomonas mendocina
Pseudomonas mucidolens
Pseudomonas oryzae
Pseudomonas protegens
Pseudomonas pseudoalcaligenes
Pseudomonas psychrotolerans
Pseudomonas putida
Pseudomonas resinovorans
Pseudomonas sp. ATCC 13867
Pseudomonas stutzeri
Pseudomonas syringae
Pseudomonas veronii
Pseudomonas viridiflava
Pseudonocardia dioxanivorans
Pseudonocardia sp. AL041005-10
Pseudonocardia sp. EC080610-09
Pseudonocardia sp. EC080619-01
Pseudonocardia sp. EC080625-04
Pseudonocardia sp. HH130629-09
Pseudonocardia sp. HH130630-07
Pseudorhodoplanes sinuspersici
Pseudoxanthomonas spadix
Pseudoxanthomonas suwonensis
Psychrobacter
Pusillimonas sp. T7-7
Ralstonia insidiosa
Ralstonia mannitolilytica
Ralstonia pickettii
Ralstonia solanacearum
Ramlibacter tataouinensis
Rathayibacter tritici
Rhizobacter gummiphilus
Rhizobiales bacterium NRL2
Rhizobium etli
Rhizobium favelukesii
Rhizobium gallicum
Rhizobium leguminosarum
Rhizobium phaseoli
Rhizobium sp. NT-26
Rhizobium sp. NXC14
Rhizobium tropici
Rhizophagus intraradices
Rhizorhabdus dicambivorans
Rhodanobacter denitrificans
Rhodobacter capsulatus
Rhodobacter sp. LPB0142
Rhodobacter sphaeroides
Rhodobacteraceae bacterium
Rhodococcus aetherivorans
Rhodococcus erythropolis
Rhodococcus fascians
Rhodococcus hoagii
Rhodococcus jostii
Rhodococcus opacus
Rhodococcus pyridinivorans
Rhodococcus rhodochrous
Rhodococcus sp. 2G
Rhodococcus sp. B7740
Rhodococcus sp. MTM3W5.2
Rhodococcus sp. PBTS 1
Rhodococcus sp. PBTS 2
Rhodococcus sp. WB1
Rhodococcus sp. WMMA185
Rhodoferax antarcticus
Rhodoferax ferrireducens
Rhodoferax koreense
Rhodoferax saidenbachensis
Rhodoluna lacicola
Rhodomicrobium vannielii
Rhodoplanes sp. Z2-YC6860
Rhodopseudomonas palustris
Rhodospirillum centenum
Rhodospirillum rubrum
Rhodothermaceae bacterium RA
Rhodothermus marinus
Rhodovulum
Rhodovulum sulfidophilum
Roseateles depolymerans
Roseiflexus castenholzii
Roseiflexus sp. RS-1
Roseomonas gilardii
Rubinisphaera brasiliensis
Rubrivivax gelatinosus
Rubrobacter radiotolerans
Rubrobacter xylanophilus
Ruegeria pomeroyi
Rugosibacter aromaticivorans
Ruminococcus albus
Ruminococcus bromii
Saccharomonospora viridis
Saccharopolyspora erythraea
Saccharothrix espanaensis
Salinibacter ruber
Salinispora arenicola
Salinispora tropica
Salipiger profundus
Sandaracinus amylolyticus
Sanguibacter keddieii
Schaalia radingae
Segniliparus rotundus
Serinicoccus sp. JLT9
Serpentinomonas mccroryi
Serpentinomonas raichei
Serratia marcescens
