Species
Phycisphaera mikurensis
Phyllobacterium zundukense
Pimelobacter simplex
Pirellula staleyi
Piscinibacter caeni
Planctomyces sp. SH-PL14
Planctomyces sp. SH-PL62
Planktothrix tepida
Planobispora rosea
Plantactinospora sp. BB1
Plantactinospora sp. BC1
Plasticicumulans acidivorans
Pleomorphomonas koreensis
Polaromonas sp. JS666
Polaromonas sp. YR568
Polymorphum gilvum
Polynucleobacter duraquae
Polynucleobacter necessarius
Polynucleobacter yangtzensis
Porphyromonas uenonis
Prauserella marina
Prauserella sp. PE36
Prevotella copri
Prevotella marshii
Prevotella nigrescens
Prevotella sp. F0091
Prevotella veroralis
Prevotellaceae bacterium Marseille-P2826
Promicromonospora kroppenstedtii
Promicromonosporaceae bacterium W15
Propionibacteriaceae bacterium P6A17
Propionibacterium acidifaciens
Propionibacterium australiense
Propionibacterium freudenreichii
Propionicicella superfundia
Prosthecomicrobium hirschii
Pseudaminobacter salicylatoxidans
Pseudolabrys sp. Root1462
Pseudolabrys taiwanensis
Pseudomonas aeruginosa
Pseudomonas fluorescens
Pseudomonas formosensis
Pseudomonas nitroreducens
Pseudomonas sp. 24 E 13
Pseudomonas stutzeri
Pseudomonas syringae
Pseudonocardia acaciae
Pseudonocardia ammonioxydans
Pseudonocardia asaccharolytica
Pseudonocardia autotrophica
Pseudonocardia dioxanivorans
Pseudonocardia oroxyli
Pseudonocardia sp. AL041005-10
Pseudonocardia sp. CNS-139
Pseudonocardia sp. HH130629-09
Pseudonocardia sp. HH130630-07
Pseudonocardia sp. MH-G8
Pseudonocardia sp. N23
Pseudonocardia spinosispora
Pseudorhodoferax soli
Pseudorhodoferax sp. Leaf274
Pseudorhodoplanes sinuspersici
Pseudosporangium ferrugineum
Pseudoxanthobacter soli
Pseudoxanthomonas sp. CF125
Pseudoxanthomonas sp. Root630
Pseudoxanthomonas suwonensis
Pseudoxanthomonas wuyuanensis
Psychrobacter sp. SHUES1
Raineyella antarctica
Ralstonia insidiosa
Ralstonia pickettii
Ralstonia solanacearum
Ralstonia sp. MD27
Ramlibacter tataouinensis
Raoultibacter massiliensis
Raoultibacter timonensis
Reyranella massiliensis
Rhizobacter gummiphilus
Rhizobacter sp. OV335
Rhizobacter sp. Root1221
Rhizobacter sp. Root404
Rhizobiales bacterium
Rhizobium etli
Rhizobium gallicum
