Library_ID	Observed_species	Shannon_index	Pileou_evenness	Site_code	Time_period	Dataset
JAE013.A0101	108	3.06065850474513	0.652404933844051	JAE	Modern	Sub10M
JAE014.A0101	121	3.69151643383331	0.768422202871154	JAE	Modern	Sub10M
JAE015.A0101	97	3.13282649333043	0.683282162393615	JAE	Modern	Sub10M
JAE016.A0101	97	3.05559949580581	0.667932796227806	JAE	Modern	Sub10M
KT01calc	119	3.89470722132463	0.813517271794058	KIL	Medieval	Sub10M
KT02calc	36	2.4545179827502	0.684946284617009	KIL	Medieval	Sub10M
KT03calc	60	3.03640503867815	0.741609552526332	KIL	Medieval	Sub10M
KT04calc	59	3.13229234797565	0.765029005344797	KIL	Medieval	Sub10M
KT05calc	37	2.69734198952279	0.746996208381696	KIL	Medieval	Sub10M
KT06calc	33	2.52961301622936	0.723468481552033	KIL	Medieval	Sub10M
KT07calc	70	3.11555394795685	0.730890903803766	KIL	Medieval	Sub10M
KT08calc	83	3.40562119150596	0.76862153099966	KIL	Medieval	Sub10M
KT09calc	26	2.19284172027308	0.673043813982476	KIL	Medieval	Sub10M
KT10calc	35	2.55801302485806	0.71948315062758	KIL	Medieval	Sub10M
KT11calc	62	3.01370922340537	0.730218340920935	KIL	Medieval	Sub10M
KT12calc	35	2.71740627683097	0.764315119035797	KIL	Medieval	Sub10M
KT13calc	44	2.56974025475478	0.67907280114131	KIL	Medieval	Sub10M
KT14calc	64	2.905394203838	0.698599634950771	KIL	Medieval	Sub10M
KT15calc	54	2.77305078342868	0.695177205789308	KIL	Medieval	Sub10M
KT16calc	57	3.17158720886992	0.781093885724335	KIL	Medieval	Sub10M
KT17calc	35	2.47532614666264	0.696226108907513	KIL	Medieval	Sub10M
KT18calc	63	2.78687073580183	0.672647866855409	KIL	Medieval	Sub10M
KT19calc	115	3.62342661408801	0.762250524007556	KIL	Medieval	Sub10M
KT20calc	59	2.89796006958841	0.710713294348701	KIL	Medieval	Sub10M
KT21calc	40	2.77412979143169	0.752025059625603	KIL	Medieval	Sub10M
KT22calc	77	3.70637988242558	0.850729307343185	KIL	Medieval	Sub10M
KT23calc	77	3.10261125711106	0.712145654101138	KIL	Medieval	Sub10M
KT24calc	71	2.90700961797093	0.681967612352972	KIL	Medieval	Sub10M
KT25calc	62	3.06213719849381	0.741952384586661	KIL	Medieval	Sub10M
KT26calc	80	3.5625984285675	0.810704209600316	KIL	Medieval	Sub10M
KT27calc	63	3.02507200203403	0.730140872022455	KIL	Medieval	Sub10M
KT28calc	39	2.67913737419383	0.731293105719728	KIL	Medieval	Sub10M
KT29calc	104	3.55008289470805	0.762809011595446	KIL	Medieval	Sub10M
KT30calc	63	2.76838719006141	0.668186620248417	KIL	Medieval	Sub10M
KT31calc	116	3.85488785260756	0.809480692093049	KIL	Medieval	Sub10M
KT32calc	83	3.65965797906299	0.825955607105751	KIL	Medieval	Sub10M
KT33calc	75	3.20424396896302	0.742154670656066	KIL	Medieval	Sub10M
KT34calc	48	2.86533069866321	0.740165827243164	KIL	Medieval	Sub10M
KT35calc	53	2.88638466388054	0.726995577838548	KIL	Medieval	Sub10M
KT36calc	43	2.6677030766736	0.709269114807968	KIL	Medieval	Sub10M
MID022.A0101	78	2.91605946355169	0.669326222970801	MID	Industrial	Sub10M
MID023.A0101	83	2.90417836765758	0.655449886444352	MID	Industrial	Sub10M
MID024.A0101	54	2.78200189549699	0.697421163640185	MID	Industrial	Sub10M
MID026.A0101	100	3.54488576959461	0.768102535276988	MID	Industrial	Sub10M
MID027.A0101	91	3.30771884673135	0.731506745697959	MID	Industrial	Sub10M
MID028.A0101	95	3.72316479439304	0.815705690760573	MID	Industrial	Sub10M
MID029.A0101	94	3.31814220736266	0.728641174618236	MID	Industrial	Sub10M
MID030.A0101	66	2.81875676573185	0.672789749822796	MID	Industrial	Sub10M
MID031.A0101	70	2.80682310166536	0.66066287985565	MID	Industrial	Sub10M
MID032.A0101	84	2.48228521684343	0.558739606944622	MID	Industrial	Sub10M
MID034.A0101	40	1.06706385882822	0.289265038909906	MID	Industrial	Sub10M
MID035.A0101	97	3.83589410432701	0.836624059422824	MID	Industrial	Sub10M
MID036.A0101	106	3.43093234605193	0.734230263421796	MID	Industrial	Sub10M
MID037.A0101	109	3.58142138326173	0.76192667654255	MID	Industrial	Sub10M
MID038.A0101	88	3.78169028924861	0.842503151903632	MID	Industrial	Sub10M
MID039.A0101	114	3.69195804445989	0.778084479310228	MID	Industrial	Sub10M
MID040.A0101	72	3.04680217990146	0.712424607185011	MID	Industrial	Sub10M
MID041.A0101	89	3.38064414156026	0.751286029684926	MID	Industrial	Sub10M
MID042.A0101	86	3.43547499923018	0.769266833968175	MID	Industrial	Sub10M
MID043.A0101	103	3.61447398418706	0.778244997606745	MID	Industrial	Sub10M
MID044.A0101	102	3.65814072672338	0.789289025531719	MID	Industrial	Sub10M
MID045.A0101	96	2.89172856427472	0.632111750417237	MID	Industrial	Sub10M
MID046.A0101	33	1.41929772415535	0.405918677195732	MID	Industrial	Sub10M
MID047.A0101	97	3.73370871772891	0.814337012224896	MID	Industrial	Sub10M
MID048.A0101	92	3.24349116717063	0.715591830266517	MID	Industrial	Sub10M
MID049.A0101	106	3.73245345369347	0.798756724442119	MID	Industrial	Sub10M
MID050.A0101	88	2.86612899005239	0.638530001979962	MID	Industrial	Sub10M
MID051.A0101	40	2.59780087123237	0.704224928883277	MID	Industrial	Sub10M
MID053.A0101	29	2.11231390517579	0.627302741376385	MID	Industrial	Sub10M
MID054.A0101	85	3.23620126394396	0.72652648047131	MID	Industrial	Sub10M
MID055.A0101	87	3.12039996736777	0.69871566643602	MID	Industrial	Sub10M
MID057.A0101	95	3.40971900738964	0.747033062412603	MID	Industrial	Sub10M
MID058.A0101	42	2.48118404458307	0.663831825168813	MID	Industrial	Sub10M
MID059.A0101	65	2.81260456875791	0.673776625623964	MID	Industrial	Sub10M
MID060.A0101	92	2.95726134650029	0.652442676871714	MID	Industrial	Sub10M
MID061.A0101	71	2.46572434524755	0.576552921511406	MID	Industrial	Sub10M
MID062.A0101	101	3.56278076369023	0.770335504125967	MID	Industrial	Sub10M
MID063.A0101	40	2.56809553057833	0.696172255700664	MID	Industrial	Sub10M
